#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.00200000            0.999921           0.0125597             0.00000             1.00000
0.00400000            0.999684           0.0251174             0.00000             1.00000
0.00600000            0.999289           0.0376711             0.00000            0.999999
0.00800000            0.998737           0.0502188             0.00000            0.999999
0.0100000            0.998027           0.0627587             0.00000            0.999998
0.0120000            0.997159           0.0752886             0.00000            0.999997
0.0140000            0.996134           0.0878067             0.00000            0.999996
0.0160000            0.994951            0.100311             0.00000            0.999995
0.0180000            0.993611            0.112799             0.00000            0.999994
0.0200000            0.992115            0.125270             0.00000            0.999992
0.0220000            0.990461            0.137720             0.00000            0.999990
0.0240000            0.988652            0.150149             0.00000            0.999988
0.0260000            0.986686            0.162555             0.00000            0.999987
0.0280000            0.984564            0.174934             0.00000            0.999984
0.0300000            0.982287            0.187286             0.00000            0.999982
0.0320000            0.979855            0.199609             0.00000            0.999980
0.0340000            0.977268            0.211900             0.00000            0.999977
0.0360000            0.974527            0.224157             0.00000            0.999974
0.0380000            0.971631            0.236379             0.00000            0.999971
0.0400000            0.968583            0.248564             0.00000            0.999968
0.0420000            0.965381            0.260709             0.00000            0.999965
0.0440000            0.962027            0.272813             0.00000            0.999962
0.0460000            0.958521            0.284875             0.00000            0.999958
0.0480000            0.954864            0.296891             0.00000            0.999954
0.0500000            0.951055            0.308860             0.00000            0.999950
0.0520000            0.947097            0.320781             0.00000            0.999946
0.0540000            0.942989            0.332650             0.00000            0.999942
0.0560000            0.938732            0.344468             0.00000            0.999938
0.0580000            0.934327            0.356231             0.00000            0.999933
0.0600000            0.929774            0.367937             0.00000            0.999929
0.0620000            0.925074            0.379586             0.00000            0.999924
0.0640000            0.920229            0.391174             0.00000            0.999919
0.0660000            0.915238            0.402701             0.00000            0.999914
0.0680000            0.910102            0.414164             0.00000            0.999909
0.0700000            0.904823            0.425562             0.00000            0.999904
0.0720000            0.899400            0.436893             0.00000            0.999898
0.0740000            0.893836            0.448154             0.00000            0.999892
0.0760000            0.888130            0.459345             0.00000            0.999887
0.0780000            0.882284            0.470463             0.00000            0.999881
0.0800000            0.876299            0.481507             0.00000            0.999875
0.0820000            0.870175            0.492475             0.00000            0.999868
0.0840000            0.863914            0.503365             0.00000            0.999862
0.0860000            0.857517            0.514175             0.00000            0.999856
0.0880000            0.850984            0.524905             0.00000            0.999849
0.0900000            0.844316            0.535551             0.00000            0.999842
0.0920000            0.837515            0.546113             0.00000            0.999835
0.0940000            0.830582            0.556588             0.00000            0.999828
0.0960000            0.823517            0.566976             0.00000            0.999821
0.0980000            0.816323            0.577274             0.00000            0.999814
0.100000            0.808999            0.587480             0.00000            0.999806
0.102000            0.801548            0.597594             0.00000            0.999799
0.104000            0.793970            0.607614             0.00000            0.999791
0.106000            0.786266            0.617537             0.00000            0.999783
0.108000            0.778439            0.627363             0.00000            0.999775
0.110000            0.770488            0.637090             0.00000            0.999767
0.112000            0.762415            0.646716             0.00000            0.999759
0.114000            0.754222            0.656240             0.00000            0.999751
0.116000            0.745910            0.665660             0.00000            0.999742
0.118000            0.737480            0.674975             0.00000            0.999734
0.120000            0.728934            0.684183             0.00000            0.999725
0.122000            0.720272            0.693283             0.00000            0.999716
0.124000            0.711496            0.702274             0.00000            0.999708
0.126000            0.702608            0.711153             0.00000            0.999699
0.128000            0.693609            0.719921             0.00000            0.999689
0.130000            0.684500            0.728574             0.00000            0.999680
0.132000            0.675283            0.737112             0.00000            0.999671
0.134000            0.665959            0.745534             0.00000            0.999661
0.136000            0.656531            0.753838             0.00000            0.999652
0.138000            0.646998            0.762023             0.00000            0.999642
0.140000            0.637363            0.770087             0.00000            0.999632
0.142000            0.627627            0.778029             0.00000            0.999623
0.144000            0.617792            0.785849             0.00000            0.999613
0.146000            0.607859            0.793544             0.00000            0.999603
0.148000            0.597830            0.801114             0.00000            0.999592
0.150000            0.587707            0.808557             0.00000            0.999582
0.152000            0.577491            0.815872             0.00000            0.999572
0.154000            0.567183            0.823059             0.00000            0.999561
0.156000            0.556786            0.830115             0.00000            0.999551
0.158000            0.546301            0.837040             0.00000            0.999540
0.160000            0.535729            0.843832             0.00000            0.999529
0.162000            0.525073            0.850492             0.00000            0.999519
0.164000            0.514334            0.857016             0.00000            0.999508
0.166000            0.503513            0.863405             0.00000            0.999497
0.168000            0.492612            0.869658             0.00000            0.999486
0.170000            0.481634            0.875773             0.00000            0.999475
0.172000            0.470580            0.881749             0.00000            0.999463
0.174000            0.459451            0.887586             0.00000            0.999452
0.176000            0.448249            0.893283             0.00000            0.999441
0.178000            0.436977            0.898838             0.00000            0.999429
0.180000            0.425635            0.904251             0.00000            0.999418
0.182000            0.414226            0.909522             0.00000            0.999406
0.184000            0.402752            0.914648             0.00000            0.999395
0.186000            0.391214            0.919629             0.00000            0.999383
0.188000            0.379614            0.924465             0.00000            0.999371
0.190000            0.367954            0.929155             0.00000            0.999359
0.192000            0.356235            0.933698             0.00000            0.999347
0.194000            0.344461            0.938093             0.00000            0.999336
0.196000            0.332631            0.942340             0.00000            0.999324
0.198000            0.320750            0.946437             0.00000            0.999311
0.200000            0.308817            0.950385             0.00000            0.999299
0.202000            0.296836            0.954182             0.00000            0.999287
0.204000            0.284807            0.957829             0.00000            0.999275
0.206000            0.272734            0.961323             0.00000            0.999263
0.208000            0.260617            0.964666             0.00000            0.999251
0.210000            0.248459            0.967856             0.00000            0.999238
0.212000            0.236262            0.970893             0.00000            0.999226
0.214000            0.224027            0.973776             0.00000            0.999213
0.216000            0.211757            0.976505             0.00000            0.999201
0.218000            0.199454            0.979079             0.00000            0.999189
0.220000            0.187118            0.981499             0.00000            0.999176
0.222000            0.174754            0.983763             0.00000            0.999163
0.224000            0.162361            0.985871             0.00000            0.999151
0.226000            0.149943            0.987823             0.00000            0.999138
0.228000            0.137501            0.989619             0.00000            0.999126
0.230000            0.125037            0.991258             0.00000            0.999113
0.232000            0.112554            0.992740             0.00000            0.999100
0.234000            0.100053            0.994065             0.00000            0.999088
0.236000           0.0875355            0.995233             0.00000            0.999075
0.238000           0.0750045            0.996243             0.00000            0.999062
0.240000           0.0624617            0.997095             0.00000            0.999050
0.242000           0.0499089            0.997790             0.00000            0.999037
0.244000           0.0373482            0.998326             0.00000            0.999024
0.246000           0.0247816            0.998704             0.00000            0.999011
0.248000           0.0122111            0.998924             0.00000            0.998999
0.250000        -0.000361299            0.998986             0.00000            0.998986
0.252000          -0.0129337            0.998890             0.00000            0.998973
0.254000          -0.0255040            0.998635             0.00000            0.998960
0.256000          -0.0380703            0.998222             0.00000            0.998948
0.258000          -0.0506306            0.997651             0.00000            0.998935
0.260000          -0.0631828            0.996922             0.00000            0.998922
0.262000          -0.0757251            0.996035             0.00000            0.998910
0.264000          -0.0882553            0.994990             0.00000            0.998897
0.266000           -0.100772            0.993788             0.00000            0.998884
0.268000           -0.113272            0.992428             0.00000            0.998872
0.270000           -0.125754            0.990911             0.00000            0.998859
0.272000           -0.138217            0.989237             0.00000            0.998846
0.274000           -0.150657            0.987406             0.00000            0.998834
0.276000           -0.163074            0.985419             0.00000            0.998821
0.278000           -0.175465            0.983275             0.00000            0.998808
0.280000           -0.187828            0.980976             0.00000            0.998796
0.282000           -0.200161            0.978521             0.00000            0.998783
0.284000           -0.212462            0.975912             0.00000            0.998771
0.286000           -0.224730            0.973147             0.00000            0.998759
0.288000           -0.236962            0.970228             0.00000            0.998746
0.290000           -0.249157            0.967156             0.00000            0.998734
0.292000           -0.261312            0.963930             0.00000            0.998721
0.294000           -0.273426            0.960551             0.00000            0.998709
0.296000           -0.285496            0.957020             0.00000            0.998697
0.298000           -0.297521            0.953337             0.00000            0.998685
0.300000           -0.309499            0.949504             0.00000            0.998673
0.302000           -0.321428            0.945519             0.00000            0.998661
0.304000           -0.333306            0.941385             0.00000            0.998648
0.306000           -0.345131            0.937102             0.00000            0.998636
0.308000           -0.356901            0.932669             0.00000            0.998625
0.310000           -0.368615            0.928090             0.00000            0.998613
0.312000           -0.380271            0.923362             0.00000            0.998601
0.314000           -0.391866            0.918489             0.00000            0.998589
0.316000           -0.403398            0.913470             0.00000            0.998577
0.318000           -0.414867            0.908305             0.00000            0.998566
0.320000           -0.426270            0.902997             0.00000            0.998554
0.322000           -0.437606            0.897546             0.00000            0.998543
0.324000           -0.448872            0.891952             0.00000            0.998531
0.326000           -0.460067            0.886217             0.00000            0.998520
0.328000           -0.471189            0.880341             0.00000            0.998509
0.330000           -0.482236            0.874326             0.00000            0.998498
0.332000           -0.493207            0.868172             0.00000            0.998486
0.334000           -0.504099            0.861880             0.00000            0.998475
0.336000           -0.514912            0.855452             0.00000            0.998464
0.338000           -0.525642            0.848887             0.00000            0.998454
0.340000           -0.536290            0.842188             0.00000            0.998443
0.342000           -0.546852            0.835356             0.00000            0.998432
0.344000           -0.557328            0.828391             0.00000            0.998421
0.346000           -0.567715            0.821294             0.00000            0.998411
0.348000           -0.578012            0.814067             0.00000            0.998400
0.350000           -0.588217            0.806712             0.00000            0.998390
0.352000           -0.598329            0.799228             0.00000            0.998380
0.354000           -0.608346            0.791617             0.00000            0.998370
0.356000           -0.618267            0.783880             0.00000            0.998360
0.358000           -0.628089            0.776019             0.00000            0.998350
0.360000           -0.637812            0.768036             0.00000            0.998340
0.362000           -0.647433            0.759930             0.00000            0.998330
0.364000           -0.656952            0.751703             0.00000            0.998320
0.366000           -0.666366            0.743357             0.00000            0.998311
0.368000           -0.675675            0.734894             0.00000            0.998301
0.370000           -0.684877            0.726313             0.00000            0.998292
0.372000           -0.693969            0.717618             0.00000            0.998283
0.374000           -0.702952            0.708808             0.00000            0.998274
0.376000           -0.711823            0.699886             0.00000            0.998265
0.378000           -0.720581            0.690853             0.00000            0.998256
0.380000           -0.729225            0.681710             0.00000            0.998247
0.382000           -0.737753            0.672459             0.00000            0.998239
0.384000           -0.746164            0.663101             0.00000            0.998230
0.386000           -0.754456            0.653638             0.00000            0.998222
0.388000           -0.762628            0.644071             0.00000            0.998213
0.390000           -0.770680            0.634402             0.00000            0.998205
0.392000           -0.778609            0.624632             0.00000            0.998197
0.394000           -0.786415            0.614763             0.00000            0.998189
0.396000           -0.794095            0.604797             0.00000            0.998181
0.398000           -0.801650            0.594734             0.00000            0.998174
0.400000           -0.809077            0.584577             0.00000            0.998166
0.402000           -0.816376            0.574327             0.00000            0.998159
0.404000           -0.823545            0.563986             0.00000            0.998152
0.406000           -0.830583            0.553555             0.00000            0.998144
0.408000           -0.837490            0.543037             0.00000            0.998137
0.410000           -0.844264            0.532432             0.00000            0.998131
0.412000           -0.850903            0.521743             0.00000            0.998124
0.414000           -0.857407            0.510970             0.00000            0.998117
0.416000           -0.863775            0.500117             0.00000            0.998111
0.418000           -0.870006            0.489184             0.00000            0.998104
0.420000           -0.876099            0.478174             0.00000            0.998098
0.422000           -0.882053            0.467087             0.00000            0.998092
0.424000           -0.887867            0.455927             0.00000            0.998086
0.426000           -0.893539            0.444694             0.00000            0.998081
0.428000           -0.899070            0.433390             0.00000            0.998075
0.430000           -0.904458            0.422018             0.00000            0.998070
0.432000           -0.909702            0.410578             0.00000            0.998064
0.434000           -0.914802            0.399074             0.00000            0.998059
0.436000           -0.919756            0.387506             0.00000            0.998054
0.438000           -0.924564            0.375876             0.00000            0.998049
0.440000           -0.929226            0.364187             0.00000            0.998044
0.442000           -0.933740            0.352440             0.00000            0.998040
0.444000           -0.938105            0.340636             0.00000            0.998035
0.446000           -0.942322            0.328779             0.00000            0.998031
0.448000           -0.946389            0.316870             0.00000            0.998027
0.450000           -0.950305            0.304910             0.00000            0.998023
0.452000           -0.954071            0.292902             0.00000            0.998019
0.454000           -0.957685            0.280847             0.00000            0.998016
0.456000           -0.961147            0.268747             0.00000            0.998012
0.458000           -0.964456            0.256605             0.00000            0.998009
0.460000           -0.967612            0.244422             0.00000            0.998006
0.462000           -0.970614            0.232201             0.00000            0.998002
0.464000           -0.973462            0.219942             0.00000            0.998000
0.466000           -0.976156            0.207649             0.00000            0.997997
0.468000           -0.978694            0.195322             0.00000            0.997994
0.470000           -0.981077            0.182965             0.00000            0.997992
0.472000           -0.983304            0.170578             0.00000            0.997990
0.474000           -0.985375            0.158164             0.00000            0.997988
0.476000           -0.987289            0.145726             0.00000            0.997986
0.478000           -0.989046            0.133264             0.00000            0.997984
0.480000           -0.990647            0.120780             0.00000            0.997982
0.482000           -0.992089            0.108278             0.00000            0.997981
0.484000           -0.993375           0.0957585             0.00000            0.997979
0.486000           -0.994502           0.0832238             0.00000            0.997978
0.488000           -0.995472           0.0706758             0.00000            0.997977
0.490000           -0.996283           0.0581166             0.00000            0.997976
0.492000           -0.996936           0.0455482             0.00000            0.997976
0.494000           -0.997430           0.0329725             0.00000            0.997975
0.496000           -0.997767           0.0203916             0.00000            0.997975
0.498000           -0.997944          0.00780745             0.00000            0.997975
0.500000           -0.997963         -0.00477795             0.00000            0.997975
0.502000           -0.997824          -0.0173626             0.00000            0.997975
0.504000           -0.997526          -0.0299445             0.00000            0.997975
0.506000           -0.997069          -0.0425216             0.00000            0.997976
0.508000           -0.996454          -0.0550919             0.00000            0.997976
0.510000           -0.995681          -0.0676535             0.00000            0.997977
0.512000           -0.994750          -0.0802044             0.00000            0.997978
0.514000           -0.993660          -0.0927425             0.00000            0.997979
0.516000           -0.992413           -0.105266             0.00000            0.997980
0.518000           -0.991008           -0.117773             0.00000            0.997982
0.520000           -0.989446           -0.130261             0.00000            0.997983
0.522000           -0.987726           -0.142728             0.00000            0.997985
0.524000           -0.985850           -0.155172             0.00000            0.997987
0.526000           -0.983817           -0.167592             0.00000            0.997989
0.528000           -0.981627           -0.179986             0.00000            0.997991
0.530000           -0.979282           -0.192350             0.00000            0.997994
0.532000           -0.976781           -0.204684             0.00000            0.997996
0.534000           -0.974125           -0.216986             0.00000            0.997999
0.536000           -0.971314           -0.229253             0.00000            0.998002
0.538000           -0.968349           -0.241484             0.00000            0.998005
0.540000           -0.965230           -0.253676             0.00000            0.998008
0.542000           -0.961957           -0.265828             0.00000            0.998011
0.544000           -0.958532           -0.277938             0.00000            0.998015
0.546000           -0.954955           -0.290004             0.00000            0.998018
0.548000           -0.951225           -0.302024             0.00000            0.998022
0.550000           -0.947345           -0.313995             0.00000            0.998026
0.552000           -0.943315           -0.325917             0.00000            0.998030
0.554000           -0.939134           -0.337787             0.00000            0.998034
0.556000           -0.934804           -0.349603             0.00000            0.998039
0.558000           -0.930326           -0.361364             0.00000            0.998043
0.560000           -0.925700           -0.373068             0.00000            0.998048
0.562000           -0.920927           -0.384712             0.00000            0.998053
0.564000           -0.916008           -0.396295             0.00000            0.998058
0.566000           -0.910943           -0.407815             0.00000            0.998063
0.568000           -0.905733           -0.419270             0.00000            0.998068
0.570000           -0.900380           -0.430659             0.00000            0.998074
0.572000           -0.894883           -0.441979             0.00000            0.998079
0.574000           -0.889245           -0.453229             0.00000            0.998085
0.576000           -0.883465           -0.464408             0.00000            0.998091
0.578000           -0.877545           -0.475512             0.00000            0.998097
0.580000           -0.871486           -0.486541             0.00000            0.998103
0.582000           -0.865288           -0.497493             0.00000            0.998109
0.584000           -0.858953           -0.508365             0.00000            0.998116
0.586000           -0.852481           -0.519157             0.00000            0.998122
0.588000           -0.845874           -0.529866             0.00000            0.998129
0.590000           -0.839133           -0.540492             0.00000            0.998136
0.592000           -0.832258           -0.551031             0.00000            0.998143
0.594000           -0.825251           -0.561483             0.00000            0.998150
0.596000           -0.818114           -0.571846             0.00000            0.998157
0.598000           -0.810846           -0.582118             0.00000            0.998164
0.600000           -0.803449           -0.592297             0.00000            0.998172
0.602000           -0.795925           -0.602383             0.00000            0.998180
0.604000           -0.788275           -0.612373             0.00000            0.998187
0.606000           -0.780499           -0.622266             0.00000            0.998195
0.608000           -0.772600           -0.632059             0.00000            0.998203
0.610000           -0.764578           -0.641753             0.00000            0.998211
0.612000           -0.756434           -0.651344             0.00000            0.998220
0.614000           -0.748171           -0.660833             0.00000            0.998228
0.616000           -0.739788           -0.670216             0.00000            0.998236
0.618000           -0.731288           -0.679493             0.00000            0.998245
0.620000           -0.722672           -0.688662             0.00000            0.998254
0.622000           -0.713942           -0.697722             0.00000            0.998263
0.624000           -0.705098           -0.706671             0.00000            0.998272
0.626000           -0.696142           -0.715507             0.00000            0.998281
0.628000           -0.687075           -0.724231             0.00000            0.998290
0.630000           -0.677900           -0.732839             0.00000            0.998299
0.632000           -0.668617           -0.741331             0.00000            0.998309
0.634000           -0.659228           -0.749705             0.00000            0.998318
0.636000           -0.649734           -0.757960             0.00000            0.998328
0.638000           -0.640137           -0.766095             0.00000            0.998337
0.640000           -0.630439           -0.774109             0.00000            0.998347
0.642000           -0.620640           -0.781999             0.00000            0.998357
0.644000           -0.610743           -0.789766             0.00000            0.998367
0.646000           -0.600749           -0.797407             0.00000            0.998377
0.648000           -0.590660           -0.804922             0.00000            0.998388
0.650000           -0.580477           -0.812309             0.00000            0.998398
0.652000           -0.570202           -0.819567             0.00000            0.998408
0.654000           -0.559836           -0.826694             0.00000            0.998419
0.656000           -0.549382           -0.833691             0.00000            0.998429
0.658000           -0.538840           -0.840556             0.00000            0.998440
0.660000           -0.528213           -0.847287             0.00000            0.998451
0.662000           -0.517502           -0.853884             0.00000            0.998462
0.664000           -0.506709           -0.860345             0.00000            0.998473
0.666000           -0.495836           -0.866670             0.00000            0.998484
0.668000           -0.484884           -0.872857             0.00000            0.998495
0.670000           -0.473855           -0.878906             0.00000            0.998506
0.672000           -0.462751           -0.884815             0.00000            0.998517
0.674000           -0.451573           -0.890585             0.00000            0.998529
0.676000           -0.440324           -0.896212             0.00000            0.998540
0.678000           -0.429005           -0.901698             0.00000            0.998551
0.680000           -0.417618           -0.907041             0.00000            0.998563
0.682000           -0.406165           -0.912240             0.00000            0.998575
0.684000           -0.394647           -0.917294             0.00000            0.998586
0.686000           -0.383067           -0.922203             0.00000            0.998598
0.688000           -0.371426           -0.926965             0.00000            0.998610
0.690000           -0.359726           -0.931580             0.00000            0.998622
0.692000           -0.347970           -0.936048             0.00000            0.998634
0.694000           -0.336157           -0.940368             0.00000            0.998646
0.696000           -0.324292           -0.944538             0.00000            0.998658
0.698000           -0.312375           -0.948558             0.00000            0.998670
0.700000           -0.300409           -0.952428             0.00000            0.998682
0.702000           -0.288395           -0.956147             0.00000            0.998694
0.704000           -0.276335           -0.959715             0.00000            0.998706
0.706000           -0.264232           -0.963130             0.00000            0.998719
0.708000           -0.252087           -0.966393             0.00000            0.998731
0.710000           -0.239901           -0.969503             0.00000            0.998743
0.712000           -0.227678           -0.972458             0.00000            0.998756
0.714000           -0.215418           -0.975260             0.00000            0.998768
0.716000           -0.203125           -0.977907             0.00000            0.998780
0.718000           -0.190799           -0.980399             0.00000            0.998793
0.720000           -0.178443           -0.982736             0.00000            0.998805
0.722000           -0.166059           -0.984917             0.00000            0.998818
0.724000           -0.153648           -0.986942             0.00000            0.998831
0.726000           -0.141213           -0.988811             0.00000            0.998843
0.728000           -0.128756           -0.990523             0.00000            0.998856
0.730000           -0.116278           -0.992077             0.00000            0.998868
0.732000           -0.103782           -0.993475             0.00000            0.998881
0.734000          -0.0912695           -0.994715             0.00000            0.998894
0.736000          -0.0787425           -0.995798             0.00000            0.998907
0.738000          -0.0662030           -0.996723             0.00000            0.998919
0.740000          -0.0536529           -0.997490             0.00000            0.998932
0.742000          -0.0410944           -0.998099             0.00000            0.998945
0.744000          -0.0285294           -0.998550             0.00000            0.998957
0.746000          -0.0159599           -0.998843             0.00000            0.998970
0.748000         -0.00338778           -0.998977             0.00000            0.998983
0.750000          0.00918482           -0.998953             0.00000            0.998996
0.752000           0.0217560           -0.998771             0.00000            0.999008
0.754000           0.0343237           -0.998431             0.00000            0.999021
0.756000           0.0468860           -0.997933             0.00000            0.999034
0.758000           0.0594408           -0.997277             0.00000            0.999047
0.760000           0.0719862           -0.996462             0.00000            0.999059
0.762000           0.0845203           -0.995490             0.00000            0.999072
0.764000           0.0970409           -0.994361             0.00000            0.999085
0.766000            0.109546           -0.993074             0.00000            0.999097
0.768000            0.122034           -0.991629             0.00000            0.999110
0.770000            0.134503           -0.990028             0.00000            0.999123
0.772000            0.146950           -0.988270             0.00000            0.999135
0.774000            0.159374           -0.986355             0.00000            0.999148
0.776000            0.171773           -0.984284             0.00000            0.999160
0.778000            0.184145           -0.982058             0.00000            0.999173
0.780000            0.196487           -0.979676             0.00000            0.999186
0.782000            0.208798           -0.977139             0.00000            0.999198
0.784000            0.221077           -0.974447             0.00000            0.999210
0.786000            0.233320           -0.971601             0.00000            0.999223
0.788000            0.245527           -0.968601             0.00000            0.999235
0.790000            0.257694           -0.965448             0.00000            0.999248
0.792000            0.269821           -0.962142             0.00000            0.999260
0.794000            0.281905           -0.958684             0.00000            0.999272
0.796000            0.293944           -0.955074             0.00000            0.999284
0.798000            0.305937           -0.951313             0.00000            0.999296
0.800000            0.317882           -0.947401             0.00000            0.999309
0.802000            0.329776           -0.943340             0.00000            0.999321
0.804000            0.341618           -0.939129             0.00000            0.999333
0.806000            0.353406           -0.934769             0.00000            0.999345
0.808000            0.365138           -0.930262             0.00000            0.999356
0.810000            0.376812           -0.925608             0.00000            0.999368
0.812000            0.388427           -0.920807             0.00000            0.999380
0.814000            0.399980           -0.915860             0.00000            0.999392
0.816000            0.411470           -0.910769             0.00000            0.999403
0.818000            0.422895           -0.905533             0.00000            0.999415
0.820000            0.434253           -0.900154             0.00000            0.999427
0.822000            0.445542           -0.894633             0.00000            0.999438
0.824000            0.456761           -0.888970             0.00000            0.999449
0.826000            0.467907           -0.883167             0.00000            0.999461
0.828000            0.478980           -0.877224             0.00000            0.999472
0.830000            0.489977           -0.871142             0.00000            0.999483
0.832000            0.500896           -0.864923             0.00000            0.999494
0.834000            0.511736           -0.858567             0.00000            0.999505
0.836000            0.522495           -0.852074             0.00000            0.999516
0.838000            0.533172           -0.845448             0.00000            0.999527
0.840000            0.543764           -0.838687             0.00000            0.999538
0.842000            0.554270           -0.831794             0.00000            0.999548
0.844000            0.564689           -0.824769             0.00000            0.999559
0.846000            0.575018           -0.817614             0.00000            0.999569
0.848000            0.585256           -0.810330             0.00000            0.999580
0.850000            0.595402           -0.802917             0.00000            0.999590
0.852000            0.605454           -0.795378             0.00000            0.999600
0.854000            0.615410           -0.787713             0.00000            0.999610
0.856000            0.625268           -0.779923             0.00000            0.999620
0.858000            0.635028           -0.772010             0.00000            0.999630
0.860000            0.644688           -0.763975             0.00000            0.999640
0.862000            0.654245           -0.755819             0.00000            0.999650
0.864000            0.663699           -0.747544             0.00000            0.999659
0.866000            0.673049           -0.739150             0.00000            0.999669
0.868000            0.682291           -0.730640             0.00000            0.999678
0.870000            0.691426           -0.722014             0.00000            0.999687
0.872000            0.700452           -0.713274             0.00000            0.999696
0.874000            0.709367           -0.704421             0.00000            0.999705
0.876000            0.718170           -0.695457             0.00000            0.999714
0.878000            0.726859           -0.686384             0.00000            0.999723
0.880000            0.735433           -0.677201             0.00000            0.999732
0.882000            0.743892           -0.667912             0.00000            0.999740
0.884000            0.752232           -0.658517             0.00000            0.999749
0.886000            0.760454           -0.649018             0.00000            0.999757
0.888000            0.768556           -0.639416             0.00000            0.999765
0.890000            0.776536           -0.629713             0.00000            0.999773
0.892000            0.784393           -0.619911             0.00000            0.999781
0.894000            0.792127           -0.610011             0.00000            0.999789
0.896000            0.799735           -0.600015             0.00000            0.999797
0.898000            0.807217           -0.589923             0.00000            0.999805
0.900000            0.814572           -0.579739             0.00000            0.999812
0.902000            0.821797           -0.569463             0.00000            0.999819
0.904000            0.828893           -0.559097             0.00000            0.999827
0.906000            0.835858           -0.548642             0.00000            0.999834
0.908000            0.842691           -0.538101             0.00000            0.999841
0.910000            0.849391           -0.527475             0.00000            0.999847
0.912000            0.855956           -0.516766             0.00000            0.999854
0.914000            0.862387           -0.505975             0.00000            0.999861
0.916000            0.868681           -0.495103             0.00000            0.999867
0.918000            0.874838           -0.484154             0.00000            0.999873
0.920000            0.880856           -0.473129             0.00000            0.999879
0.922000            0.886736           -0.462028             0.00000            0.999885
0.924000            0.892475           -0.450855             0.00000            0.999891
0.926000            0.898074           -0.439610             0.00000            0.999897
0.928000            0.903530           -0.428296             0.00000            0.999902
0.930000            0.908844           -0.416914             0.00000            0.999908
0.932000            0.914015           -0.405467             0.00000            0.999913
0.934000            0.919040           -0.393955             0.00000            0.999918
0.936000            0.923921           -0.382381             0.00000            0.999923
0.938000            0.928656           -0.370747             0.00000            0.999928
0.940000            0.933244           -0.359054             0.00000            0.999932
0.942000            0.937685           -0.347304             0.00000            0.999937
0.944000            0.941978           -0.335500             0.00000            0.999941
0.946000            0.946122           -0.323643             0.00000            0.999945
0.948000            0.950116           -0.311734             0.00000            0.999949
0.950000            0.953961           -0.299776             0.00000            0.999953
0.952000            0.957654           -0.287771             0.00000            0.999957
0.954000            0.961197           -0.275721             0.00000            0.999961
0.956000            0.964588           -0.263627             0.00000            0.999964
0.958000            0.967826           -0.251491             0.00000            0.999967
0.960000            0.970911           -0.239316             0.00000            0.999971
0.962000            0.973844           -0.227102             0.00000            0.999973
0.964000            0.976622           -0.214853             0.00000            0.999976
0.966000            0.979246           -0.202570             0.00000            0.999979
0.968000            0.981716           -0.190255             0.00000            0.999981
0.970000            0.984030           -0.177910             0.00000            0.999984
0.972000            0.986189           -0.165537             0.00000            0.999986
0.974000            0.988193           -0.153138             0.00000            0.999988
0.976000            0.990040           -0.140714             0.00000            0.999990
0.978000            0.991731           -0.128269             0.00000            0.999992
0.980000            0.993265           -0.115803             0.00000            0.999993
0.982000            0.994643           -0.103319             0.00000            0.999995
0.984000            0.995863          -0.0908180             0.00000            0.999996
0.986000            0.996926          -0.0783031             0.00000            0.999997
0.988000            0.997832          -0.0657759             0.00000            0.999998
0.990000            0.998580          -0.0532382             0.00000            0.999999
0.992000            0.999171          -0.0406922             0.00000            0.999999
0.994000            0.999604          -0.0281397             0.00000             1.00000
0.996000            0.999878          -0.0155828             0.00000             1.00000
0.998000            0.999995         -0.00302342             0.00000             1.00000
1.00000            0.999954          0.00953643             0.00000             1.00000
1.00200            0.999756           0.0220948             0.00000             1.00000
1.00400            0.999399           0.0346496             0.00000            0.999999
1.00600            0.998884           0.0471990             0.00000            0.999999
1.00800            0.998212           0.0597409             0.00000            0.999998
1.01000            0.997382           0.0722734             0.00000            0.999997
